ID,X,Y,nianliB,fenliB,shaliB,SOMB,phB
401,118.9210,31.1838,2.7514 ,36.4651,60.7835,13.4432,5.1800
402,119.1669,30.9201,5.2533 ,57.7081,37.0386,26.7356,5.1700
403,119.3637,30.8221,7.3412 ,49.9713,42.6875,34.3720,4.3800
404,119.2764,30.7418,3.3418 ,48.7295,47.9287,17.6183,5.2100
405,119.3808,30.7039,1.0424 ,15.6255,83.3322,21.7996,5.3700
406,119.2305,30.6312,2.1215 ,33.4503,64.4282,18.0836,5.2400
407,119.3433,30.9590,8.6694 ,74.9791,16.3515,18.2132,4.1000
408,119.1762,31.0963,4.9734 ,58.2185,36.8081,17.0238,5.6000
409,119.5460,30.9104,7.7413 ,81.1056,11.1532,19.8390,4.8300
410,118.5646,30.9616,6.4058 ,54.7019,38.8923,19.5080,5.1900
411,118.6740,30.8992,9.2425 ,70.5083,20.2492,17.8260,4.7600
412,118.6871,30.8947,9.1623 ,72.9556,17.8822,13.4870,7.8400
413,118.8805,30.8232,5.4710 ,39.2216,55.3074,6.0866,4.9150
415,118.6263,30.7958,7.5409 ,72.3950,20.0641,27.2929,4.2400
416,118.8073,30.7525,9.1452 ,59.8622,30.9927,8.1527,4.8700
417,119.5468,31.1283,6.4775 ,48.9927,44.5298,33.1213,4.9800
419,118.7106,30.9951,7.2997 ,51.5329,41.1674,19.7646,4.7150
420,119.0071,30.9011,4.9812 ,57.8595,37.1593,34.2967,4.3300
421,119.4841,30.8834,7.4554 ,68.1931,24.3515,15.0726,5.4450
422,119.0421,30.8440,8.5804 ,67.8543,23.5653,22.5896,4.9400
423,119.0987,30.7942,7.6050 ,54.6095,37.7855,12.0675,5.2400
424,119.1866,30.7846,3.6887 ,34.2490,62.0623,25.7712,5.0600
425,118.7138,30.7506,7.1890 ,69.5281,23.2828,58.0267,4.1700
426,118.7007,30.7090,7.8413 ,66.6045,25.5543,35.2100,4.7500
428,118.9836,30.7442,9.0246 ,73.9405,17.0349,30.7217,5.7200
429,118.7013,31.2723,5.1704 ,56.2925,38.5371,19.5700,6.9200
430,119.1397,31.2506,3.9745 ,44.7697,51.2558,21.2566,5.1500
431,119.1848,31.2366,5.9710 ,57.5357,36.4933,21.6990,5.4300
432,118.9466,31.2117,7.9708 ,63.5918,28.4374,20.2389,6.1900
433,119.1248,31.1622,3.8517 ,39.2625,56.8858,20.5745,5.2300
434,119.0742,31.1478,8.2658 ,74.7739,16.9603,22.7021,4.8700
435,119.2501,31.1009,5.7669 ,75.4748,18.7583,21.4101,5.2000
436,119.2170,31.0813,7.7583 ,70.5727,21.6690,17.9507,5.2200
437,119.2881,30.9695,7.9928 ,81.8577,10.1494,18.4258,4.9300
438,118.7596,31.0535,16.8733 ,79.1548,3.9719,17.7204,5.9200
439,118.6719,31.0239,6.0334 ,72.3210,21.6456,23.3803,4.8500
442,119.4398,30.9833,5.7707 ,71.9838,22.2455,22.8116,4.8900
443,118.7939,31.0681,6.6578 ,66.9757,26.3665,16.3205,5.8700
444,118.8569,31.0144,7.2720 ,72.7720,19.9559,24.3930,5.2500
445,119.0422,31.0099,8.4177 ,77.1395,14.4428,11.3884,5.2200
446,118.5887,31.0099,4.7610 ,63.7426,31.4964,12.6818,4.8700
447,118.7600,30.9593,7.0356 ,66.9488,26.0156,17.9443,5.0800
448,118.8233,30.9358,3.2468 ,36.5935,60.1597,20.0043,5.9700
449,119.3900,30.8637,4.5745 ,57.3969,38.0286,18.9548,5.1000
450,118.8354,30.7956,5.0018 ,59.5954,35.4029,12.9460,5.2200
452,118.9295,31.1325,5.7278 ,59.7389,34.5334,22.7916,4.9000
454,119.1217,31.0761,7.8538 ,79.4261,12.7200,18.9362,5.0400
455,119.4028,31.0686,8.7519 ,54.9452,36.3028,13.1289,4.3500
456,118.5617,30.9116,9.5279 ,77.7195,12.7527,14.0871,4.4800
457,118.7057,30.9624,7.6304 ,64.8114,27.5582,14.7657,4.4600
458,118.7464,30.8817,5.5158 ,57.0694,37.4148,17.3792,5.1800
459,118.5174,30.8733,5.0973 ,53.8481,41.0546,14.1303,4.9000
460,119.1166,30.8585,7.7711 ,56.2543,35.9746,23.5698,4.8700
461,118.6391,30.7500,9.2119 ,69.8694,20.9188,24.0096,5.2000
462,119.2112,30.8041,7.6086 ,65.5159,26.8755,27.6729,5.0900
463,119.3156,30.7982,2.2800 ,23.3310,74.3890,18.3826,5.4350
464,119.4421,30.7729,4.7144 ,61.7021,33.5835,31.6176,4.7800
465,119.2067,30.6761,7.2508 ,56.9752,35.7740,14.9916,4.8500
101,118.9380,30.8347,5.4080 ,40.6068,53.9852,20.2892,4.5700
102,118.8597,30.7311,2.1913 ,24.2445,73.5642,37.2562,5.3850
103,119.1528,30.6789,8.9306 ,64.4494,26.6200,25.6168,5.2650
104,119.0625,30.8007,8.3798 ,62.7539,28.8663,20.5302,5.3800
105,119.0076,30.7938,3.1967 ,34.9598,61.8435,40.6180,4.0650
106,119.3512,31.0538,5.7139 ,51.7682,42.5179,40.0677,4.4450
107,119.3643,30.6913,1.9549 ,17.0740,80.9711,24.7622,4.6167
108,119.1531,30.8478,6.5817 ,54.4141,39.0042,19.6924,4.8700
109,118.6936,30.5981,2.3208 ,55.3122,42.3670,89.1195,4.3500
110,119.2687,30.6955,2.4516 ,38.1481,59.4003,29.3117,5.1700
112,119.3666,30.7641,1.5956 ,26.0832,72.3211,66.5278,4.2100
113,119.2532,30.8026,7.3813 ,63.7122,28.9065,23.8438,5.3700
114-ZX,119.6209,31.0383,4.4170 ,51.2556,44.3274,42.6555,4.6300
115-SJ,119.1805,30.6169,9.3053 ,70.9370,19.7577,48.6577,4.9200
116,118.7233,30.5867,10.7226 ,64.4122,24.8652,34.6632,4.8300
117,119.3824,30.8159,6.0642 ,62.0849,31.8509,34.7794,4.4700
118,118.8661,30.7934,6.6780 ,72.8095,20.5125,18.5966,5.2500
119,118.5278,30.9568,8.3912 ,63.9109,27.6980,5.0626,5.3200
120,118.9849,30.8378,6.1047 ,64.6318,29.2635,35.2292,4.2400
121,118.8576,31.2056,7.6439 ,77.0310,15.3251,14.7829,4.8800
122,118.9864,30.8005,5.6190 ,60.6211,33.7598,22.6126,5.4100
123,118.6802,31.0554,9.7486 ,79.6051,10.6463,18.3642,5.4750
124,119.1103,31.2285,5.9697 ,66.3740,27.6564,10.9215,5.2900
125,119.1222,31.1225,6.1249 ,56.6456,37.2295,18.2396,5.3400
14041-b,119.4000,31.1340,3.9849 ,37.9574,58.0576,23.4000,5.2700
16011,119.3680,31.1158,8.9244 ,65.6727,25.4029,10.7200,4.5900
16032,119.1100,30.8955,5.7286 ,69.0809,25.1905,25.0500,4.8200
16062,119.1300,30.9283,4.2475 ,38.4051,57.3474,20.3800,5.2300
16121,119.4020,30.7316,0.7111 ,13.8218,85.4671,15.9600,5.0900
16132,119.3550,30.7580,2.2617 ,33.3760,64.3623,46.9500,4.8800
201,119.2036,31.2539,4.6554 ,51.7875,43.5571,20.0571,5.6750
202,118.6108,30.8418,3.6682 ,48.4646,47.8672,23.0232,5.1000
203,118.9713,30.8137,7.7787 ,72.0312,20.1901,17.6492,5.0000
204,118.6225,30.7881,9.6318 ,61.2027,29.1654,13.6589,4.9700
205,119.5539,31.1091,3.1681 ,27.2874,69.5445,28.5945,4.8300
207,119.4356,30.8320,2.9565 ,38.1985,58.8450,24.3286,5.1500
208,118.9714,30.8581,7.7077 ,61.9043,30.3881,16.9232,4.5000
209,119.3672,30.9139,9.9669 ,65.0155,25.0176,15.9334,5.0000
210,119.3418,31.0742,5.5752 ,55.9585,38.4663,27.9418,4.7100
212,119.5893,31.0619,7.8750 ,49.8916,42.2334,38.2003,6.9600
213,118.7767,31.2199,7.1427 ,66.4794,26.3780,20.9280,5.5500
214,118.6202,30.9049,7.7753 ,59.6205,32.6042,12.5394,4.9000
215,119.3848,30.8024,2.3384 ,26.6927,70.9689,51.2932,4.9000
216,119.3697,31.1105,4.1433 ,31.9105,63.9462,16.5313,4.7700
217,119.5553,30.8689,2.9959 ,27.8250,69.1791,26.1055,3.9600
218,119.4134,30.7890,4.1586 ,34.7141,61.1273,22.5053,4.7100
219,118.6870,30.7690,7.2146 ,78.8145,13.9709,24.0563,4.3900
220,119.4168,30.7353,0.7221 ,24.6995,74.5784,13.9685,5.6000
221,119.5388,31.0765,4.8968 ,60.5379,34.5652,30.6462,7.3700
222,118.9586,30.7841,3.8077 ,41.9334,54.2590,33.5326,6.4900
223,118.9407,31.1622,3.9146 ,57.2795,38.8060,10.4227,5.2200
224,119.1944,30.9345,7.7130 ,77.7390,14.5480,17.7618,4.5900
225,118.7919,30.7870,6.9992 ,65.6431,27.3577,31.5147,4.7200
226,119.3489,30.9350,8.7792 ,74.3747,16.8461,15.2478,4.5900
227,119.2595,31.0291,7.2778 ,80.1738,12.5484,18.3098,5.3000
228,118.8060,30.6850,5.5679 ,54.9500,39.4821,24.4459,5.0200
230,118.8446,31.0169,8.7324 ,75.7426,15.5250,21.6637,5.4500
231,118.6701,31.2689,6.3139 ,78.1362,15.5499,12.4685,7.2500
232-ZR,118.6947,31.0250,9.7378 ,66.1740,24.0882,6.3352,5.0400
234,118.8040,30.9508,6.2420 ,81.0687,12.6893,18.5833,5.2900
235,119.1829,31.1142,5.4355 ,49.5907,44.9739,10.2002,4.9900
236,119.0912,31.0851,9.7570 ,65.4606,24.7824,15.0312,5.3800
237,119.2570,30.7452,4.2719 ,60.3698,35.3582,18.1090,5.1200
238,118.5788,30.9744,6.6954 ,61.6689,31.6357,20.5982,4.5900
25012_335,119.3350,30.9350,8.7876 ,77.5492,13.6632,14.3109,4.7300
25022,119.3250,31.1978,10.0880 ,74.8238,15.0882,16.5500,4.9900
25042,119.3590,30.9521,6.6727 ,65.7610,27.5663,20.8400,5.3200
25052,119.3680,30.9530,8.9373 ,80.3169,10.7458,14.8700,3.9900
25082,119.3240,31.0577,7.3666 ,60.9870,31.6464,14.9900,4.6700
25091,119.3050,30.9522,4.8838 ,51.1086,44.0076,14.6200,4.4100
25101,119.2930,30.9706,7.2683 ,63.4319,29.2999,18.9800,4.3900
302,118.7004,30.6737,7.3434 ,63.5573,29.0993,27.0062,4.6350
304,119.2228,30.6666,6.4019 ,79.7316,13.8665,30.4511,5.8100
305,119.3277,30.6634,1.4551 ,16.1413,82.4035,29.7235,5.4000
306,119.4309,30.6629,2.5926 ,39.1496,58.2578,15.6494,5.6700
307-M,118.5993,30.7682,8.9198 ,74.2858,16.7944,16.2926,5.3100
308,118.7027,30.7648,10.2094 ,70.4628,19.3278,27.3696,4.8150
309,118.8089,30.7633,5.5307 ,64.5318,29.9375,17.7964,5.4100
310,118.9111,30.7620,3.0831 ,40.0025,56.9144,14.6423,4.8300
311,119.0122,30.7635,4.9704 ,57.2753,37.7544,19.6764,5.6000
312,119.1202,30.7586,7.7383 ,65.2755,26.9861,24.4924,4.9800
313,119.2230,30.7590,9.6795 ,85.7789,4.5416,20.7942,4.4600
314,119.3271,30.7536,0.9469 ,20.7367,78.3164,22.9783,5.1650
315-2,119.4362,30.7541,4.7148 ,39.5283,55.7569,28.3069,4.9000
316,118.4946,30.8583,5.1792 ,68.7165,26.1044,10.4109,4.9000
317,118.5994,30.8558,6.7749 ,66.9413,26.2838,20.7059,5.2400
318,118.7237,30.8551,3.9296 ,43.6643,52.4061,23.9921,4.4900
